"id","name","image_tag","created_at","updated_at"
"296","Ice Block Dealers","unavailable.png","2019-09-09 20:49:48","2019-09-09 20:49:48"
"297","Bus Transportation Companies","unavailable.png","2019-09-09 20:49:58","2019-09-09 20:49:58"
"298","Federal Road Safety Corp","unavailable.png","2019-09-09 20:50:02","2019-09-09 20:50:02"
"299","Mobile Phone","unavailable.png","2019-09-09 20:50:11","2019-09-09 20:50:11"
"300","TV Stations","unavailable.png","2019-09-09 20:50:12","2019-09-09 20:50:12"
"301","School","unavailable.png","2019-09-09 20:50:16","2019-09-09 20:50:16"
"302","Newspapers","unavailable.png","2019-09-09 20:50:16","2019-09-09 20:50:16"
"303","Educational Consultancy","unavailable.png","2019-09-09 20:50:16","2019-09-09 20:50:16"
"304","Packaging Companies","unavailable.png","2019-09-09 20:50:17","2019-09-09 20:50:17"
"305","Shipping Services & Suppliers","unavailable.png","2019-09-09 20:50:17","2019-09-09 20:50:17"
"306","Real Estate Agents","unavailable.png","2019-09-09 20:50:17","2019-09-09 20:50:17"
"307","Auto Dealer","unavailable.png","2019-09-09 20:50:17","2019-09-09 20:50:17"
"308","Association Of Muslims","unavailable.png","2019-09-09 20:50:17","2019-09-09 20:50:17"
"309","Personal Care","unavailable.png","2019-09-09 20:50:18","2019-09-09 20:50:18"
"310","Ict Consulting","unavailable.png","2019-09-09 20:50:18","2019-09-09 20:50:18"
"311","Gardening & Landscaping","unavailable.png","2019-09-09 20:50:18","2019-09-09 20:50:18"
"312","Media Agencies","unavailable.png","2019-09-09 20:50:18","2019-09-09 20:50:18"
"313","Cake Shop","unavailable.png","2019-09-09 20:50:18","2019-09-09 20:50:18"
