"id";"name";"state_id";"created_at";"updated_at"
"236";"Ijero";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"237";"Ikere";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"238";"Ikole";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"239";"Ilejemeje";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"240";"Irepodun/Ifelodun";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"241";"Ise/Orun";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"242";"Moba";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"243";"Oye";"14";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"244";"Aninri";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"245";"Awgu";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"246";"Enugu East";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"247";"Enugu North";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"248";"Enugu South";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"249";"Ezeagu";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"250";"Igbo-Etiti";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"251";"Igbo-Eze North";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"252";"Igbo Eze South";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"253";"Isi-Uzo";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"254";"Nkanu East";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"255";"Nkanu West";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"256";"Nsukka";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"257";"Oji-River";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"258";"Udenu";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"259";"Udi";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"260";"Uzo-Uwani";"15";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"261";"Abaji";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"262";"Asokoro";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"263";"Bwari";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"264";"Central Business District";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"265";"Chika";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"266";"Dakidiya";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"267";"Dakwo";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"268";"Dei-Dei";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"269";"Duboyi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"270";"Durumi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"271";"Dutse";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"272";"Gaduwa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"273";"Galadimawa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"274";"Garki I";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"275";"Garki II";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"276";"Gudu";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"277";"Guzape";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"278";"Gwagwalada";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
